buurt_naam,woningen,woonruimten_totaal,inwoners_op_1_januari,inwoners_in_de_leeftijd_van_03_jaar,inwoners_in_de_leeftijd_van_411_jaar,inwoners_in_de_leeftijd_van_1217_jaar,inwoners_in_de_leeftijd_van_1824_jaar,inwoners_in_de_leeftijd_van_2539_jaar,inwoners_in_de_leeftijd_van_4054_jaar,inwoners_in_de_leeftijd_van_5564_jaar,inwoners_in_de_leeftijd_van_6574_jaar,inwoners_in_de_leeftijd_van_7584_jaar,inwoners_in_de_leeftijd_van_85_jaar_en_ouder,inwoners_in_de_leeftijd_van_017_jaar,inwoners_in_de_leeftijd_van_1864_jaar,inwoners_in_de_leeftijd_van_65_jaar_en_ouder,gemiddeld_gestandaardiseerd_inkomen_per_huishouden,huishoudens_onder_105_van_sociaal_minimum
pierik,1135,1145,2183,112.0,195.0,116.0,159.0,619.0,467.0,249.0,193.0,61.0,12.0,423,1494,266,23300,15
bedrijventerrein marslanden-noord,0,14,38,1.0,2.0,9.0,4.0,4.0,13.0,5.0,0.0,0.0,0.0,12,26,0,,-
hanzeland,522,522,1018,33.0,63.0,54.0,126.0,219.0,215.0,123.0,110.0,53.0,22.0,150,683,185,32100,5
kamperpoort,746,746,1428,41.0,50.0,42.0,277.0,392.0,175.0,111.0,101.0,110.0,129.0,133,955,340,21100,21
veerallee,543,543,1484,70.0,166.0,119.0,232.0,237.0,311.0,152.0,101.0,68.0,28.0,355,932,197,34500,5
bedrijventerrein voorst-a,43,43,59,0.0,0.0,0.0,12.0,34.0,11.0,2.0,0.0,0.0,0.0,0,59,0,,-
bedrijventerrein voorst-b,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,-
spoolde,116,116,299,5.0,32.0,27.0,19.0,22.0,79.0,51.0,51.0,11.0,2.0,64,171,64,33300,4
oud-westenholte,968,974,2401,126.0,274.0,204.0,167.0,465.0,452.0,301.0,200.0,157.0,55.0,604,1385,412,27300,7
westenholte-stins,1101,1106,2743,128.0,284.0,243.0,188.0,466.0,611.0,474.0,272.0,68.0,9.0,655,1739,349,27800,7
vreugderijk,65,65,182,2.0,14.0,19.0,20.0,12.0,38.0,39.0,27.0,11.0,0.0,35,109,38,,-
bedrijventerrein voorst-c,1,2,6,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0,5,1,,-
bedrijventerrein voorst-d,1,1,5,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0,4,1,,-
frankhuis,2061,2108,6146,385.0,1189.0,652.0,297.0,1359.0,1684.0,333.0,144.0,79.0,24.0,2226,3673,247,30200,5
mastenbroek,20,20,63,2.0,8.0,6.0,8.0,9.0,16.0,11.0,2.0,1.0,0.0,16,44,3,,-
schoonhorst,1864,1864,4462,260.0,546.0,380.0,314.0,991.0,1136.0,381.0,279.0,146.0,29.0,1186,2822,454,29200,6
werkeren,1359,1381,4399,511.0,843.0,316.0,148.0,1252.0,864.0,130.0,113.0,124.0,98.0,1670,2394,335,32300,5
milligen,2806,2809,7200,401.0,1024.0,661.0,413.0,1426.0,1897.0,590.0,525.0,207.0,56.0,2086,4326,788,30500,5
de tippe,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,-
breecamp,361,361,1018,125.0,164.0,75.0,57.0,425.0,145.0,21.0,5.0,1.0,0.0,364,648,6,28200,11
breezicht,4,4,10,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,2,7,1,,-
stadsbroek,19,19,54,0.0,3.0,8.0,7.0,3.0,15.0,8.0,9.0,1.0,0.0,11,33,10,,-
holtenbroek iv,1623,1623,3110,121.0,223.0,137.0,285.0,602.0,522.0,337.0,364.0,323.0,196.0,481,1746,883,20900,21
holtenbroek i,891,892,1872,150.0,203.0,107.0,150.0,648.0,328.0,136.0,106.0,33.0,11.0,460,1262,150,27200,7
holtenbroek ii,1244,1248,2574,168.0,296.0,157.0,308.0,810.0,478.0,161.0,128.0,61.0,7.0,621,1757,196,21700,19
holtenbroek iii,1078,1083,2413,117.0,263.0,155.0,248.0,643.0,494.0,244.0,147.0,88.0,14.0,535,1629,249,21900,18
aa-landen-zuid,1047,1047,2260,100.0,177.0,176.0,187.0,360.0,483.0,239.0,277.0,213.0,48.0,453,1269,538,23500,13
aa-landen-midden,1987,1987,3711,128.0,268.0,184.0,214.0,699.0,674.0,427.0,448.0,427.0,242.0,580,2014,1117,24700,13
aa-landen-noord,1593,1597,3791,166.0,354.0,276.0,250.0,476.0,754.0,570.0,636.0,258.0,51.0,796,2050,945,29100,5
aa-landen-oost,1432,1437,3301,157.0,297.0,223.0,192.0,521.0,628.0,524.0,552.0,179.0,28.0,677,1865,759,28000,6
brinkhoek,265,265,597,9.0,31.0,47.0,26.0,53.0,123.0,95.0,136.0,63.0,14.0,87,297,213,56000,2
langenholte,42,42,116,4.0,5.0,20.0,7.0,8.0,32.0,23.0,13.0,4.0,0.0,29,70,17,,-
haerst,108,109,281,10.0,14.0,29.0,31.0,28.0,62.0,56.0,34.0,14.0,3.0,53,177,51,38200,10
berkum,1656,1672,3721,136.0,313.0,280.0,204.0,425.0,735.0,489.0,503.0,429.0,207.0,729,1853,1139,31900,5
bedrijventerrein de vrolijkheid,9,12,7,0.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1,6,0,,-
veldhoek,98,98,243,9.0,14.0,26.0,17.0,31.0,39.0,41.0,30.0,30.0,6.0,49,128,66,,-
kantorenterrein oosterenk,10,10,14,0.0,0.0,4.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,4,5,5,,-
bedrijventerrein hessenpoort,29,29,72,2.0,7.0,12.0,4.0,5.0,17.0,13.0,4.0,8.0,0.0,21,39,12,,-
tolhuislanden,53,53,179,8.0,17.0,22.0,30.0,26.0,34.0,20.0,18.0,4.0,0.0,47,110,22,,-
herfte,138,138,392,14.0,33.0,56.0,29.0,38.0,74.0,77.0,38.0,25.0,8.0,103,218,71,36700,0
bedrijventerrein marslanden-zuid,9,9,156,0.0,8.0,5.0,11.0,63.0,55.0,10.0,2.0,2.0,0.0,13,139,4,,-
wijthmen,242,243,626,35.0,51.0,44.0,54.0,89.0,128.0,95.0,72.0,48.0,10.0,130,366,130,30600,4
oud-schelle,484,484,1297,74.0,168.0,113.0,92.0,193.0,319.0,154.0,117.0,49.0,18.0,355,758,184,38400,1
schellerhoek,368,371,1024,35.0,110.0,98.0,104.0,125.0,299.0,185.0,59.0,7.0,2.0,243,713,68,36500,0
schellerbroek,694,694,1495,41.0,87.0,98.0,172.0,249.0,313.0,276.0,158.0,71.0,30.0,226,1010,259,32300,6
schellerlanden,1192,1200,2784,100.0,198.0,216.0,218.0,328.0,607.0,599.0,339.0,146.0,33.0,514,1752,518,31100,6
oldenelerlanden-oost,1005,1005,2469,133.0,237.0,197.0,190.0,434.0,611.0,429.0,167.0,52.0,19.0,567,1664,238,28900,6
oldenelerlanden-west,556,556,1463,59.0,137.0,136.0,140.0,190.0,374.0,313.0,86.0,24.0,4.0,332,1017,114,34400,6
oldenelerbroek,1438,1443,3388,100.0,333.0,341.0,238.0,533.0,899.0,517.0,267.0,129.0,31.0,774,2187,427,29900,7
schelle-zuid en oldeneel,70,70,189,3.0,25.0,19.0,11.0,12.0,37.0,33.0,31.0,15.0,3.0,47,93,49,,-
katerveer-engelse werk,197,202,606,19.0,73.0,66.0,28.0,60.0,159.0,67.0,63.0,26.0,45.0,158,314,134,46300,3
oud-ittersum,521,521,1309,67.0,113.0,119.0,89.0,215.0,284.0,159.0,139.0,98.0,26.0,299,747,263,28900,4
ittersumerlanden,1869,1869,3872,199.0,349.0,230.0,253.0,827.0,786.0,537.0,299.0,240.0,152.0,778,2403,691,24900,11
ittersumerbroek,981,1006,2450,89.0,206.0,264.0,205.0,318.0,665.0,383.0,191.0,102.0,27.0,559,1571,320,30500,6
geren,450,453,827,24.0,44.0,52.0,132.0,221.0,194.0,93.0,44.0,20.0,3.0,120,640,67,22500,17
gerenlanden,1205,1205,3207,162.0,340.0,306.0,258.0,524.0,769.0,497.0,264.0,70.0,17.0,808,2048,351,30100,4
gerenbroek,1192,1192,3198,157.0,395.0,286.0,213.0,562.0,762.0,545.0,232.0,40.0,6.0,838,2082,278,30300,4
oude mars,14,14,72,1.0,13.0,4.0,2.0,5.0,27.0,17.0,3.0,0.0,0.0,18,51,3,,-
windesheim,153,153,386,25.0,32.0,31.0,36.0,67.0,79.0,54.0,42.0,15.0,5.0,88,236,62,29400,3
harculo en hoog-zuthem,136,136,480,12.0,35.0,35.0,20.0,34.0,102.0,94.0,66.0,50.0,32.0,82,250,148,34400,4
